bond     atom     atom_next     theta     theta_0
harm     2     1     6   140.00000   120.00000
harm     2     1    17   140.00000   120.00000
harm     6     1    17   126.00000   120.00000
harm     1     2     3    70.00000   109.50000
harm     1     2     4    70.00000   109.50000
harm     1     2     5    70.00000   109.50000
harm     3     2     4    66.00000   107.80000
harm     3     2     5    66.00000   107.80000
harm     4     2     5    66.00000   107.80000
harm     1     6     8   126.00000   120.00000
harm     1     6     7    70.00000   120.00000
harm     8     6     7    70.00000   120.00000
harm     6     8     9   140.00000   120.00000
harm     6     8    13   126.00000   120.00000
harm     9     8    13   140.00000   120.00000
harm     8     9    10    70.00000   109.50000
harm     8     9    11    70.00000   109.50000
harm     8     9    12    70.00000   109.50000
harm    10     9    11    66.00000   107.80000
harm    10     9    12    66.00000   107.80000
harm    11     9    12    66.00000   107.80000
harm     8    13    15   126.00000   120.00000
harm     8    13    14    70.00000   120.00000
harm    15    13    14    70.00000   120.00000
harm    13    15    17   126.00000   120.00000
harm    13    15    16    70.00000   120.00000
harm    17    15    16    70.00000   120.00000
harm    15    17     1   126.00000   120.00000
harm    15    17    18    70.00000   120.00000
harm     1    17    18    70.00000   120.00000
