bond     atom    next_atom   k  r0
harm     1     2      634.00     1.51000
harm     1     6      938.00     1.40000
harm     1    17      938.00     1.40000
harm     2     3      680.00     1.09000
harm     2     4      680.00     1.09000
harm     2     5      680.00     1.09000
harm     6     8      938.00     1.40000
harm     6     7      734.00     1.08000
harm     8     9      634.00     1.51000
harm     8    13      938.00     1.40000
harm     9    10      680.00     1.09000
harm     9    11      680.00     1.09000
harm     9    12      680.00     1.09000
harm    13    15      938.00     1.40000
harm    13    14      734.00     1.08000
harm    15    17      938.00     1.40000
harm    15    16      734.00     1.08000
harm    17    18      734.00     1.08000
